평균 상대습도(%),일시,실효습도
81.4,20170711,72.012594
75.9,20170712,69.104799
71.0,20170713,65.47329
68.4,20170714,61.914255000000004
89.0,20170715,65.17435200000001
83.4,20170716,66.53777699999999
77.3,20170717,65.93949
80.6,20170718,66.757752
71.4,20170719,64.70163000000001
66.1,20170720,60.633672000000004
73.1,20170721,60.16845900000001
75.8,20170722,60.960378
89.5,20170723,65.458332
82.3,20170724,66.910773
64.1,20170725,62.734713000000006
55.6,20170726,56.90852400000001
62.5,20170727,54.764055
92.1,20170728,61.45215900000001
72.3,20170729,60.556863
64.4,20170730,58.477818
82.3,20170731,62.821065
73.0,20170801,62.72343300000001
71.9,20170802,60.83262900000001
60.6,20170803,57.117402
60.1,20170804,54.76506900000001
63.0,20170805,53.0859
71.9,20170806,55.04939700000001
68.1,20170807,55.339308
67.1,20170808,55.81200299999999
66.4,20170809,55.9581
89.9,20170810,62.964147
72.5,20170811,62.199633000000006
60.3,20170812,58.196073
62.1,20170813,55.984002000000004
67.5,20170814,56.09084700000001
93.8,20170815,62.870745000000014
80.5,20170816,64.503999
77.1,20170817,65.242413
75.6,20170818,65.218545
75.8,20170819,64.989564
95.6,20170820,69.443205
81.5,20170821,69.00135300000001
70.6,20170822,65.593488
84.1,20170823,67.333614
85.3,20170824,68.901618
61.9,20170825,61.980885
54.5,20170826,55.62730799999999
62.0,20170827,53.97939300000001
73.1,20170828,55.475168999999994
51.4,20170829,49.951707000000006
55.8,20170830,48.585135
62.4,20170831,49.98165
56.0,20170901,48.661053
59.0,20170902,48.076962
64.0,20170903,50.262234
53.8,20170904,48.510072
62.4,20170905,49.53078
75.5,20170906,54.49797000000001
73.3,20170907,57.163740000000004
67.5,20170908,57.03767400000001
70.1,20170909,58.243722000000005
74.3,20170910,59.914335
79.8,20170911,62.073249000000004
58.6,20170912,57.335415000000005
49.3,20170913,51.52137299999999
48.8,20170914,47.170449000000005
48.4,20170915,43.793034000000006
50.9,20170916,41.901528
51.3,20170917,41.76639900000001
62.8,20170918,45.590724
79.1,20170919,53.182961999999996
48.9,20170920,49.457697
57.3,20170921,49.243959000000004
60.8,20170922,50.124174000000004
69.8,20170923,52.860482999999995
71.5,20170924,54.464037000000005
58.0,20170925,53.059239000000005
57.0,20170926,51.352343999999995
66.4,20170927,52.801044
49.1,20170928,48.171345
39.3,20170929,41.90484
64.9,20170930,45.87897
74.8,20171001,51.681282
62.3,20171002,51.51894299999999
49.8,20171003,48.52758899999999
48.5,20171004,46.537766999999995
56.4,20171005,46.22411399999999
66.4,20171006,48.505389
67.6,20171007,51.09254400000001
