사망인명피해수,화재발생시,현장안전센터거리,시간단위기온,시간단위풍속,시간단위가시거리,재산피해액,실효습도,전기사용량(KWh),가스사용량(KWh)
0,0,3,0.2,2.2,491,13391,54.27375,18096.2104633905,11774.100170177806
0,15,2,9.3,1.9,703,35,49.554054,18096.2104633905,11774.100170177806
0,20,1,-4.2,1.8,2000,308,31.607682,18096.2104633905,11774.100170177806
0,10,1,-4.4,4.5,558,184,50.355768000000005,18096.2104633905,11774.100170177806
0,3,3,1.5,5.9,634,877,43.742292000000006,18096.2104633905,11774.100170177806
0,1,4,-6.1,2.6,2000,135,39.579228,18096.2104633905,11774.100170177806
0,22,2,0.6,0.1,526,105,46.303062,18096.2104633905,11774.100170177806
0,15,2,-0.1,4.2,1975,422,38.257452,18096.2104633905,11774.100170177806
0,7,1,-7.5,0.4,1965,7315,41.605767,18096.2104633905,11774.100170177806
0,9,2,1.0,1.3,1782,353,40.998462,18096.2104633905,11774.100170177806
0,17,2,9.3,3.3,2000,0,40.998462,18096.2104633905,11774.100170177806
0,19,3,3.3,1.0,192,80,43.727028,18096.2104633905,11774.100170177806
0,14,2,5.4,3.7,1917,470,45.252144,18096.2104633905,11774.100170177806
0,22,1,5.0,2.4,853,920,47.848245000000006,18096.2104633905,11774.100170177806
0,21,1,1.1,4.7,2000,64,40.81554,18096.2104633905,11774.100170177806
0,19,1,9.6,5.4,1972,42,34.819383,18096.2104633905,11774.100170177806
0,13,1,12.0,1.8,531,5637,47.110932,18096.2104633905,11774.100170177806
0,0,1,15.0,1.5,1167,72235,43.98215400000001,18096.2104633905,11774.100170177806
0,13,2,18.5,3.5,1636,1488,45.481545,18096.2104633905,11774.100170177806
0,12,2,25.4,1.7,974,612,40.465089,18096.2104633905,11774.100170177806
0,2,1,19.4,2.7,1529,121,38.169624000000006,18096.2104633905,11774.100170177806
0,12,1,19.3,3.2,929,1302,41.337402,18096.2104633905,11774.100170177806
0,11,3,20.7,2.7,625,2398,55.506048,18096.2104633905,11774.100170177806
0,0,1,15.6,0.6,2000,481,42.795909,18096.2104633905,11774.100170177806
0,8,2,18.5,3.8,975,192,45.340083,18096.2104633905,11774.100170177806
1,17,2,22.9,5.5,2000,417,45.340083,18096.2104633905,11774.100170177806
0,11,2,25.0,1.8,2000,105,40.004352,18096.2104633905,11774.100170177806
0,20,2,25.6,2.7,2000,33229,41.199135,18096.2104633905,11774.100170177806
0,11,3,25.5,1.5,2000,1071,41.476923,18096.2104633905,11774.100170177806
0,18,2,25.6,4.3,2000,385,34.674693,18096.2104633905,11774.100170177806
0,21,3,20.9,3.3,2000,184,34.674693,18096.2104633905,11774.100170177806
0,17,3,27.3,3.2,2000,219,52.31796000000001,18096.2104633905,11774.100170177806
0,10,3,25.8,2.2,1774,447,45.74444999999999,18096.2104633905,11774.100170177806
0,21,1,25.1,2.2,758,59,55.197357,18096.2104633905,11774.100170177806
0,21,1,22.5,3.0,1654,135,63.535125,18096.2104633905,11774.100170177806
0,13,2,30.6,2.4,1266,52652,66.36971700000001,18096.2104633905,11774.100170177806
0,13,2,31.3,1.6,859,107,63.206058,18096.2104633905,11774.100170177806
0,15,1,31.3,1.9,946,4672,63.206058,18096.2104633905,11774.100170177806
0,13,3,31.8,1.1,989,45,62.223255,18096.2104633905,11774.100170177806
0,6,1,24.5,1.4,1584,42,63.233178,18096.2104633905,11774.100170177806
0,19,1,26.4,0.1,1143,2644,68.02907700000002,18096.2104633905,11774.100170177806
0,17,1,31.7,2.2,2000,99,56.90852400000001,18096.2104633905,11774.100170177806
0,15,3,25.9,0.8,166,1417,61.45215900000001,18096.2104633905,11774.100170177806
0,3,1,26.5,1.1,1567,18328,62.821065,18096.2104633905,11774.100170177806
0,19,2,26.0,2.2,2000,386,62.821065,18096.2104633905,11774.100170177806
0,23,1,28.6,0.6,1086,261,62.72343300000001,18096.2104633905,11774.100170177806
0,18,1,32.2,2.8,1997,970,55.04939700000001,18096.2104633905,11774.100170177806
0,16,2,32.2,2.2,2000,3065,62.199633000000006,18096.2104633905,11774.100170177806
0,8,1,21.1,3.9,2000,498,64.503999,18096.2104633905,11774.100170177806
0,7,2,21.6,3.0,2000,54549,65.242413,18096.2104633905,11774.100170177806
0,22,2,25.6,1.8,1996,253,69.00135300000001,18096.2104633905,11774.100170177806
0,23,1,25.8,0.9,2000,405,65.593488,18096.2104633905,11774.100170177806
0,9,1,27.5,4.8,1910,1693,68.901618,18096.2104633905,11774.100170177806
0,1,7,18.3,0.5,2000,103,49.951707000000006,18096.2104633905,11774.100170177806
0,7,2,17.4,2.3,1768,11989,48.661053,18096.2104633905,11774.100170177806
0,22,3,22.8,2.2,252,326,57.03767400000001,18096.2104633905,11774.100170177806
0,18,1,27.0,1.9,1772,90,58.243722000000005,18096.2104633905,11774.100170177806
0,19,1,24.2,1.6,799,27,59.914335,18096.2104633905,11774.100170177806
0,11,1,24.3,1.9,2000,16986,51.52137299999999,18096.2104633905,11774.100170177806
0,23,1,18.5,0.7,2000,333,49.457697,18096.2104633905,11774.100170177806
0,20,0,21.7,0.8,807,13,58.503132000000015,18096.2104633905,11774.100170177806
0,9,2,12.7,5.5,533,91,42.63942000000001,18096.2104633905,11774.100170177806
0,6,2,14.6,3.6,468,379,54.55189200000001,18096.2104633905,11774.100170177806
0,17,3,12.3,3.6,2000,11,54.55189200000001,18096.2104633905,11774.100170177806
0,22,2,0.2,4.2,2000,5651,38.847477,18096.2104633905,11774.100170177806
0,4,3,-1.5,2.1,2000,195,32.825082,18096.2104633905,11774.100170177806
0,12,2,-1.1,4.9,1919,171,31.280445000000004,18096.2104633905,11774.100170177806
0,18,1,0.9,2.3,1356,180,36.424269,18096.2104633905,11774.100170177806
0,14,1,7.1,3.2,1994,393,55.983714,18096.2104633905,11774.100170177806
0,3,3,-4.3,0.6,1992,9511,42.34344299999999,18096.2104633905,11774.100170177806
0,14,2,-0.7,0.8,826,81,38.191725000000005,18096.2104633905,11774.100170177806
0,19,1,-0.1,1.3,1911,2619,45.12021000000001,18096.2104633905,11774.100170177806
0,3,3,-6.1,1.3,1999,17262,38.581845,18096.2104633905,11774.100170177806
0,23,1,-0.6,4.2,936,53,39.22125,18096.2104633905,11774.100170177806
0,14,4,-1.8,3.7,1922,473,43.10677199999999,18096.2104633905,11774.100170177806
0,9,2,-14.9,1.2,1999,9934,38.572617,18096.2104633905,11774.100170177806
0,21,3,4.3,0.7,434,50,50.046732,18096.2104633905,11774.100170177806
0,22,1,0.7,2.0,1084,7734,51.22113300000001,18096.2104633905,11774.100170177806
0,12,3,-11.3,3.7,1955,4503,38.869530000000005,18096.2104633905,11774.100170177806
0,15,2,-9.7,3.6,2000,77,38.869530000000005,18096.2104633905,11774.100170177806
0,18,2,-6.6,2.5,2000,726,29.497188,18096.2104633905,11774.100170177806
0,14,2,-1.1,2.1,1437,8473,37.604307000000006,18096.2104633905,11774.100170177806
0,23,3,-1.7,1.0,1093,48,37.604307000000006,18096.2104633905,11774.100170177806
0,14,1,0.8,3.2,2000,80,39.98358,18096.2104633905,11774.100170177806
0,5,2,-6.3,3.9,1521,77,41.38761,18096.2104633905,11774.100170177806
0,14,4,-3.5,1.5,1976,735,32.75562,18096.2104633905,11774.100170177806
0,0,2,-4.6,0.1,1551,2310,34.592184,18096.2104633905,11774.100170177806
0,6,2,1.6,1.6,448,827,36.528615,18096.2104633905,11774.100170177806
0,16,2,3.9,4.0,1973,41,39.205077,18096.2104633905,11774.100170177806
0,4,3,-1.9,3.0,2000,56,34.38109500000001,18096.2104633905,11774.100170177806
0,16,2,11.9,2.7,1424,110,50.22312,18096.2104633905,11774.100170177806
0,16,1,11.9,2.7,1424,286,50.22312,18096.2104633905,11774.100170177806
0,0,2,2.9,1.3,903,93,47.679345,18096.2104633905,11774.100170177806
0,2,1,8.8,0.7,1272,42,33.674775000000004,18096.2104633905,11774.100170177806
0,7,2,11.3,0.7,774,261,34.069767000000006,18096.2104633905,11774.100170177806
0,4,4,15.0,0.8,867,1015,58.108287,18096.2104633905,11774.100170177806
0,12,1,20.0,1.8,428,40,62.880342,18096.2104633905,11774.100170177806
0,0,3,15.3,1.3,2000,433,42.81213,18096.2104633905,11774.100170177806
